Total Clusters:Cluster Count
1:6362 
2:3618 2744 
3:3509 2744 109 
4:2744 2166 1343 109 
5:2744 1343 1153 1013 109 
6:2380 1343 1153 1013 364 109 
7:2380 1343 1013 614 539 364 109 
8:2380 1013 786 614 557 539 364 109 
9:2380 1013 786 614 557 539 324 109 40 
10:2380 786 614 557 540 539 473 324 109 40 
11:2380 786 614 557 540 473 324 289 250 109 40 
12:2380 786 557 540 473 354 324 289 260 250 109 40 
13:2380 786 540 473 472 354 324 289 260 250 109 85 40 
14:2027 786 540 473 472 354 353 324 289 260 250 109 85 40 
15:1078 949 786 540 473 472 354 353 324 289 260 250 109 85 40 
16:1078 949 540 473 472 416 370 354 353 324 289 260 250 109 85 40 
17:1078 949 540 473 472 416 370 354 353 324 289 250 164 109 96 85 40 
18:1078 949 540 473 472 416 370 354 353 324 289 250 164 96 85 75 40 34 
19:1078 949 540 473 472 416 370 354 353 324 289 164 150 100 96 85 75 40 34 
20:1078 949 540 473 472 416 370 353 324 289 250 164 150 104 100 96 85 75 40 34 
40:837 575 503 289 265 247 245 240 238 225 211 209 208 201 180 176 152 151 150 119 112 100 96 93 67 67 45 44 41 39 39 38 37 34 32 21 12 8 8 8 
60:612 497 329 245 240 238 227 218 211 198 183 180 168 155 152 151 150 142 119 101 100 96 96 96 93 83 79 78 78 78 67 67 67 65 58 54 45 44 42 41 39 39 38 37 34 34 32 28 25 21 21 20 12 8 8 7 6 4 4 2 
80:610 363 329 227 198 194 193 180 171 168 151 150 145 142 134 131 128 109 108 106 101 100 96 96 93 84 79 78 78 74 71 67 67 67 65 61 59 58 54 47 45 45 45 44 42 42 41 39 39 38 37 36 36 35 34 32 28 28 25 24 23 21 21 20 15 12 11 9 9 8 7 7 6 6 5 4 4 3 2 2 
100:528 283 256 172 171 168 153 151 150 142 134 131 128 114 114 113 108 107 107 106 105 100 96 94 93 92 91 86 84 82 79 74 71 67 67 67 61 59 58 58 54 53 47 46 45 45 45 44 42 41 40 40 39 39 38 38 36 36 36 35 35 34 32 31 30 29 29 28 28 25 25 24 23 22 21 21 20 15 12 11 9 9 8 8 8 7 7 6 6 6 5 4 4 4 4 3 3 3 2 2 
500:95 92 80 79 78 78 76 66 66 65 64 62 61 59 58 57 56 55 52 49 48 48 46 46 45 44 42 42 41 40 39 39 39 39 38 37 37 37 37 36 35 35 34 34 34 34 33 33 33 32 32 32 32 31 31 31 31 30 30 30 30 30 29 29 29 29 28 27 27 27 27 25 25 25 25 25 25 24 24 24 24 23 23 23 23 23 22 22 22 22 22 22 22 22 21 21 20 20 20 19 19 19 19 19 19 19 18 18 17 17 17 17 17 17 17 17 17 16 16 16 16 16 16 16 15 15 15 15 15 14 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 13 13 13 13 13 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 10 10 10 10 9 9 9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
